block,trial,!step,bgr,wgr,style,stim,loc,time,stim,loc,time,*
1,1,step1,0,0,1,#a2-a1,"0,1,1",0,instr,"0,0,0",rt:57,*
1,2,step1,0,2,1,#a2-a1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
1,3,step1,0,2,1,#a2-a1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
1,4,step1,0,2,1,#a2-a1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
1,5,step1,0,2,1,#a2-a1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
1,6,step1,0,2,1,#a2-a1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
1,7,step1,0,2,1,#a2-a1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
1,8,step1,0,2,1,#a2-a1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
1,9,step1,0,2,1,#a2-a1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
1,10,step1,0,2,1,#a2-a1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
1,11,step1,0,2,1,#a2-a1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
1,12,step1,0,2,1,#a2-a1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
1,13,step1,0,2,1,#a2-a1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
1,14,step1,0,2,1,#a2-a1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
1,15,step1,0,2,1,#a2-a1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
1,16,step1,0,2,1,#a2-a1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
1,17,step1,0,2,1,#a2-a1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
1,18,step1,0,2,1,#a2-a1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
1,19,step1,0,2,1,#a2-a1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
1,20,step1,0,2,1,#a2-a1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
1,21,step1,0,2,1,#a2-a1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
2,22,step2,1,0,1,#t2-t1,"0,1,1",0,instr,"0,0,0",rt:57,*
2,23,step2,1,1,1,#t2-t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
2,24,step2,1,1,1,#t2-t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
2,25,step2,1,1,1,#t2-t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
2,26,step2,1,1,1,#t2-t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
2,27,step2,1,1,1,#t2-t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
2,28,step2,1,1,1,#t2-t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
2,29,step2,1,1,1,#t2-t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
2,30,step2,1,1,1,#t2-t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
2,31,step2,1,1,1,#t2-t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
2,32,step2,1,1,1,#t2-t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
2,33,step2,1,1,1,#t2-t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
2,34,step2,1,1,1,#t2-t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
2,35,step2,1,1,1,#t2-t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
2,36,step2,1,1,1,#t2-t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
2,37,step2,1,1,1,#t2-t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
2,38,step2,1,1,1,#t2-t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
2,39,step2,1,1,1,#t2-t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
2,40,step2,1,1,1,#t2-t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
2,41,step2,1,1,1,#t2-t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
2,42,step2,1,1,1,#t2-t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
3,43,step3,1,0,1,#a2t2-a1t1,"0,1,1",0,instr,"0,0,0",rt:57,*
3,44,step3-prac,1,3,1,#a2t2-a1t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
3,45,step3-prac,1,4,1,#a2t2-a1t1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
3,46,step3-prac,1,3,1,#a2t2-a1t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
3,47,step3-prac,1,4,1,#a2t2-a1t1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
3,48,step3-prac,1,3,1,#a2t2-a1t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
3,49,step3-prac,1,4,1,#a2t2-a1t1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
3,50,step3-prac,1,3,1,#a2t2-a1t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
3,51,step3-prac,1,4,1,#a2t2-a1t1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
3,52,step3-prac,1,3,1,#a2t2-a1t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
3,53,step3-prac,1,4,1,#a2t2-a1t1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
3,54,step3-prac,1,3,1,#a2t2-a1t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
3,55,step3-prac,1,4,1,#a2t2-a1t1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
3,56,step3-prac,1,3,1,#a2t2-a1t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
3,57,step3-prac,1,4,1,#a2t2-a1t1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
3,58,step3-prac,1,3,1,#a2t2-a1t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
3,59,step3-prac,1,4,1,#a2t2-a1t1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
3,60,step3-prac,1,3,1,#a2t2-a1t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
3,61,step3-prac,1,4,1,#a2t2-a1t1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
3,62,step3-prac,1,3,1,#a2t2-a1t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
3,63,step3-prac,1,4,1,#a2t2-a1t1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
4,64,step3,1,0,1,#a2t2-a1t1,"0,1,1",0,instr,"0,0,0",rt:57,*
4,64,step3,1,5,1,#a2t2-a1t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
4,65,step3,1,6,1,#a2t2-a1t1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
4,66,step3,1,5,1,#a2t2-a1t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
4,67,step3,1,6,1,#a2t2-a1t1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
4,68,step3,1,5,1,#a2t2-a1t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
4,69,step3,1,6,1,#a2t2-a1t1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
4,70,step3,1,5,1,#a2t2-a1t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
4,71,step3,1,6,1,#a2t2-a1t1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
4,72,step3,1,5,1,#a2t2-a1t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
4,73,step3,1,6,1,#a2t2-a1t1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
4,74,step3,1,5,1,#a2t2-a1t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
4,75,step3,1,6,1,#a2t2-a1t1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
4,76,step3,1,5,1,#a2t2-a1t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
4,77,step3,1,6,1,#a2t2-a1t1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
4,78,step3,1,5,1,#a2t2-a1t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
4,79,step3,1,6,1,#a2t2-a1t1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
4,80,step3,1,5,1,#a2t2-a1t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
4,81,step3,1,6,1,#a2t2-a1t1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
4,82,step3,1,5,1,#a2t2-a1t1,"0,1,1",0,$target1,"0,0,0","rt:23,18",*
4,83,step3,1,6,1,#a2t2-a1t1,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
4,84,step3,1,5,1,#a2t2-a1t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
4,85,step3,1,6,1,#a2t2-a1t1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
4,86,step3,1,5,1,#a2t2-a1t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
4,87,step3,1,6,1,#a2t2-a1t1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
4,88,step3,1,5,1,#a2t2-a1t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
4,89,step3,1,6,1,#a2t2-a1t1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
4,90,step3,1,5,1,#a2t2-a1t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
4,91,step3,1,6,1,#a2t2-a1t1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
4,92,step3,1,5,1,#a2t2-a1t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
4,93,step3,1,6,1,#a2t2-a1t1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
4,94,step3,1,5,1,#a2t2-a1t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
4,95,step3,1,6,1,#a2t2-a1t1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
4,96,step3,1,5,1,#a2t2-a1t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
4,97,step3,1,6,1,#a2t2-a1t1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
4,98,step3,1,5,1,#a2t2-a1t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
4,99,step3,1,6,1,#a2t2-a1t1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
4,100,step3,1,5,1,#a2t2-a1t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
4,101,step3,1,6,1,#a2t2-a1t1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
4,102,step3,1,5,1,#a2t2-a1t1,"0,1,1",0,$target2,"0,0,0","rt:18,23",*
4,103,step3,1,6,1,#a2t2-a1t1,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
5,104,step4,2,0,1,#t1-t2,"0,1,1",0,instr,"0,0,0",rt:57,*
5,105,step4,2,7,1,#t1-t2,"0,1,1",0,$target1,"0,0,0","rt:18,23",*
5,106,step4,2,7,1,#t1-t2,"0,1,1",0,$target1,"0,0,0","rt:18,23",*
5,107,step4,2,7,1,#t1-t2,"0,1,1",0,$target1,"0,0,0","rt:18,23",*
5,108,step4,2,7,1,#t1-t2,"0,1,1",0,$target1,"0,0,0","rt:18,23",*
5,109,step4,2,7,1,#t1-t2,"0,1,1",0,$target1,"0,0,0","rt:18,23",*
5,110,step4,2,7,1,#t1-t2,"0,1,1",0,$target1,"0,0,0","rt:18,23",*
5,111,step4,2,7,1,#t1-t2,"0,1,1",0,$target1,"0,0,0","rt:18,23",*
5,112,step4,2,7,1,#t1-t2,"0,1,1",0,$target1,"0,0,0","rt:18,23",*
5,113,step4,2,7,1,#t1-t2,"0,1,1",0,$target1,"0,0,0","rt:18,23",*
5,114,step4,2,7,1,#t1-t2,"0,1,1",0,$target1,"0,0,0","rt:18,23",*
5,115,step4,2,7,1,#t1-t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
5,116,step4,2,7,1,#t1-t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
5,117,step4,2,7,1,#t1-t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
5,118,step4,2,7,1,#t1-t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
5,119,step4,2,7,1,#t1-t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
5,120,step4,2,7,1,#t1-t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
5,121,step4,2,7,1,#t1-t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
5,122,step4,2,7,1,#t1-t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
5,123,step4,2,7,1,#t1-t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
5,124,step4,2,7,1,#t1-t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
6,125,step5,2,0,1,#a2t1-a1t2,"0,1,1",0,instr,"0,0,0",rt:57,*
6,126,step5-prac,2,8,1,#a2t1-a1t2,"0,1,1",0,$target1,"0,0,0","rt:18,23",*
6,127,step5-prac,2,9,1,#a2t1-a1t2,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
6,128,step5-prac,2,8,1,#a2t1-a1t2,"0,1,1",0,$target1,"0,0,0","rt:18,23",*
6,129,step5-prac,2,9,1,#a2t1-a1t2,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
6,130,step5-prac,2,8,1,#a2t1-a1t2,"0,1,1",0,$target1,"0,0,0","rt:18,23",*
6,131,step5-prac,2,9,1,#a2t1-a1t2,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
6,132,step5-prac,2,8,1,#a2t1-a1t2,"0,1,1",0,$target1,"0,0,0","rt:18,23",*
6,133,step5-prac,2,9,1,#a2t1-a1t2,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
6,134,step5-prac,2,8,1,#a2t1-a1t2,"0,1,1",0,$target1,"0,0,0","rt:18,23",*
6,135,step5-prac,2,9,1,#a2t1-a1t2,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
6,136,step5-prac,2,8,1,#a2t1-a1t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
6,137,step5-prac,2,9,1,#a2t1-a1t2,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
6,138,step5-prac,2,8,1,#a2t1-a1t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
6,139,step5-prac,2,9,1,#a2t1-a1t2,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
6,140,step5-prac,2,8,1,#a2t1-a1t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
6,141,step5-prac,2,9,1,#a2t1-a1t2,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
6,142,step5-prac,2,8,1,#a2t1-a1t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
6,143,step5-prac,2,9,1,#a2t1-a1t2,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
6,144,step5-prac,2,8,1,#a2t1-a1t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
6,145,step5-prac,2,9,1,#a2t1-a1t2,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
7,146,step5,2,0,1,#a2t1-a1t2,"0,1,1",0,instr,"0,0,0",rt:57,*
7,146,step5,2,10,1,#a2t1-a1t2,"0,1,1",0,$target1,"0,0,0","rt:18,23",*
7,147,step5,2,11,1,#a2t1-a1t2,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
7,148,step5,2,10,1,#a2t1-a1t2,"0,1,1",0,$target1,"0,0,0","rt:18,23",*
7,149,step5,2,11,1,#a2t1-a1t2,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
7,150,step5,2,10,1,#a2t1-a1t2,"0,1,1",0,$target1,"0,0,0","rt:18,23",*
7,151,step5,2,11,1,#a2t1-a1t2,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
